"corp_name","ticker","corp_code","agency","long_term_rating","long_term_outlook","long_term_date","short_term_rating","short_term_outlook","short_term_date","source_url"
"CJ","","","NICE신용평가","AA-","안정적","2026.06.22","A1","","2026.06.22","https://www.nicerating.com/"
"CJ제일제당","","","NICE신용평가","AA","안정적","2026.04.15","A1","","2026.04.15","https://www.nicerating.com/"
"DB손해보험","","","NICE신용평가","AAA","안정적","2026.04.22","","","","https://www.nicerating.com/"
"DB증권","","","NICE신용평가","A+","안정적","2026.06.04","A1","","2026.06.04","https://www.nicerating.com/"
"DB증권(주)","","","한국신용평가","A+","안정적","2026.06.26","A1","","2026.06.19","https://www.kisrating.com/"
"DB캐피탈(주)","","","한국신용평가","BBB+","안정적","2026.06.05","A3+","","2026.06.05","https://www.kisrating.com/"
"GS","","","NICE신용평가","AA","안정적","2026.06.18","A1","","2026.06.18","https://www.nicerating.com/"
"INVENI","","","NICE신용평가","AA-","안정적","2026.06.23","","","","https://www.nicerating.com/"
"JB금융지주","","","NICE신용평가","AA+","안정적","2026.07.08","","","","https://www.nicerating.com/"
"JB우리캐피탈(주)","","","한국신용평가","AA-","안정적","2026.07.07","A1","","2026.06.09","https://www.kisrating.com/"
"JW생명과학(주)","","","한국신용평가","BBB+","안정적","2026.04.27","","","","https://www.kisrating.com/"
"JW중외제약(주)","","","한국신용평가","A-","안정적","2026.04.27","","","","https://www.kisrating.com/"
"JW홀딩스(주)","","","한국신용평가","BBB+","안정적","2026.04.27","","","","https://www.kisrating.com/"
"KB금융지주","","","NICE신용평가","AAA","안정적","2026.07.01","A1","","2026.06.29","https://www.nicerating.com/"
"KB캐피탈(주)","","","한국신용평가","AA-","안정적","2026.06.30","A1","","2026.05.29","https://www.kisrating.com/"
"LF","","","NICE신용평가","AA-","안정적","2026.06.18","","","","https://www.nicerating.com/"
"LG생활건강","","","NICE신용평가","","","","A1","","2026.06.17","https://www.nicerating.com/"
"LG유플러스","","","NICE신용평가","AA+","안정적","2026.03.12","A1","","2026.05.12","https://www.nicerating.com/"
"LG전자","","","NICE신용평가","AA","긍정적","2026.05.15","","","","https://www.nicerating.com/"
"LG화학","","","NICE신용평가","AA+","부정적","2026.04.23","","","","https://www.nicerating.com/"
"LS","","","NICE신용평가","A+","긍정적","2026.06.29","A2+","","2026.06.29","https://www.nicerating.com/"
"LS네트웍스","","","NICE신용평가","BBB+","안정적","2026.06.18","A3+","","2026.06.18","https://www.nicerating.com/"
